Use case,Industry,Commercial Name,Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference,Paint Type
Dispersant for inorganic pigments,Marine,Solsperse 27000,Polyester Block Copolymer,C20H40O6 (approx),1.10-1.15,,,Dispersion stability; high loading; low viscosity,https://lubrizol.com/en/Coatings/Additives/Solsperse-27000,Additives
Defoamer for alkyd systems,Industrial,TEGO Airex 921,Polydimethylsiloxane Emulsion,C6H18OSi2 (base),1.00-1.03,,,Foam suppression; high compatibility; durable performance,https://www.evonik.com/en/products/tego-airex-921,Additives
Thickener for high shear stability,Decorative,HEC 250HX,Hydroxyethyl Cellulose,(C6H10O5)n,1.30-1.40,,,Rheology control; pseudoplasticity; water retention,https://www.ashland.com/industries/paints-coatings/building-and-construction-paints,Additives
Flow aid for epoxy coatings,Automotive,Additol VXW 6210,Modified Polyacrylate,C11H20O3 (approx),1.02-1.06,,,Surface leveling; defect prevention; fast drying,https://www.allnex.com/product/additol-vxw-6210,Additives
Corrosion inhibitor for steel surfaces,Infrastructure,INOX-CHEM C45,Calcium Phosphosilicate,Ca3(PO4)2.SiO2,2.80-3.00,,,Passive film formation; rust inhibition; long-term protection,https://www.inox-chem.de/en/products/inox-chem-c45,Additives
Plasticizer for flexible coatings,Construction,Diisononyl Phthalate,DINP,C26H42O4,0.97-0.98,-55,1.48,Flexibility; low volatility; weather resistance,https://pubchem.ncbi.nlm.nih.gov/compound/Diisononyl-phthalate,Additives
Dispersant for carbon black pigments,Printing,EFKA 4580,Polyester-Based Dispersant,C20H40O6 (approx),1.06-1.10,,,Jetness enhancement; high pigment loading; stability,https://www.basf.com/global/en/products/efka-4580,Additives
Biocide for long-term can preservation,Architectural,Proxel GXL,Benzisothiazolinone,C7H5NOS,1.01-1.03,,,Broad-spectrum control; low VOC; antimicrobial,https://www.archbiocides.com/product/proxel-gxl,Additives
Slip agent for abrasion resistance,Industrial,Ceraflour 100,Micronized Polyethylene Wax,C2H4 (polymer),0.93-0.96,110-120,,Slip enhancement; scratch resistance; matting control,https://www.bykgardner.com/products/ceraflour-100.html,Additives
pH stabilizer for emulsion paints,Construction,AMP 95,2-Amino-2-Methyl-1-Propanol,C4H11NO,0.94-0.96,34-36,1.35-1.50,pH buffering; emulsification aid; compatibility,https://www.angus.com/products/amp-95,Additives
Flash rust inhibitor for aqueous systems,Marine,Nopox FR,Organic Nitrite Salt Mixture,C3H7NO2 (approx),1.08-1.12,,,Rust prevention; low dosage effectiveness; early film protection,https://www.vanora.ch/en/products/additives/nopox-fr,Additives
